Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
83499041,15FD0816,true,Rx,0,8,01,01,04,6B,8F,FF,FF,FF,
83499539,15FD0716,true,Rx,0,8,01,C4,CF,8F,FF,7F,FF,FF,
83510323,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
85999950,15FD0816,true,Rx,0,8,01,01,04,33,90,FF,FF,FF,
86000491,15FD0716,true,Rx,0,8,01,C4,97,90,FF,7F,FF,FF,
86011252,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
88500846,15FD0816,true,Rx,0,8,01,01,04,FB,90,FF,FF,FF,
88501377,15FD0716,true,Rx,0,8,01,C4,5F,91,FF,7F,FF,FF,
88512109,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
91001708,15FD0816,true,Rx,0,8,01,01,04,C3,91,FF,FF,FF,
91002256,15FD0716,true,Rx,0,8,01,C4,27,92,FF,7F,FF,FF,
91013079,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
93502650,15FD0816,true,Rx,0,8,01,01,04,8B,92,FF,FF,FF,
93503186,15FD0716,true,Rx,0,8,01,C4,EF,92,FF,7F,FF,FF,
93513998,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
96003521,15FD0816,true,Rx,0,8,01,01,04,53,93,FF,FF,FF,
96004098,15FD0716,true,Rx,0,8,01,C4,B7,93,FF,7F,FF,FF,
96014918,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
98504421,15FD0816,true,Rx,0,8,01,01,04,1B,94,FF,FF,FF,
98505021,15FD0716,true,Rx,0,8,01,C4,7F,94,FF,7F,FF,FF,
98515734,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
101005318,15FD0816,true,Rx,0,8,01,01,04,E3,94,FF,FF,FF,
101005936,15FD0716,true,Rx,0,8,01,C4,47,95,FF,7F,FF,FF,
101016662,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
103506184,15FD0816,true,Rx,0,8,01,01,04,AB,95,FF,FF,FF,
103506786,15FD0716,true,Rx,0,8,01,C4,0F,96,FF,7F,FF,FF,
103517560,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
106007173,15FD0816,true,Rx,0,8,01,01,04,73,96,FF,FF,FF,
106007718,15FD0716,true,Rx,0,8,01,C4,D7,96,FF,7F,FF,FF,
106018502,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
108508090,15FD0816,true,Rx,0,8,01,01,04,3B,97,FF,FF,FF,
108508584,15FD0716,true,Rx,0,8,01,C4,9F,97,FF,7F,FF,FF,
108519359,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
111009013,15FD0816,true,Rx,0,8,01,01,04,03,98,FF,FF,FF,
111009517,15FD0716,true,Rx,0,8,01,C4,67,98,FF,7F,FF,FF,
111020275,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
113509878,15FD0816,true,Rx,0,8,01,01,04,CB,98,FF,FF,FF,
113510415,15FD0716,true,Rx,0,8,01,C4,2F,99,FF,7F,FF,FF,
113521212,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
116010731,15FD0816,true,Rx,0,8,01,01,04,93,99,FF,FF,FF,
116011301,15FD0716,true,Rx,0,8,01,C4,F7,99,FF,7F,FF,FF,
116022110,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
118511623,15FD0816,true,Rx,0,8,01,01,04,5B,9A,FF,FF,FF,
118512200,15FD0716,true,Rx,0,8,01,C4,BF,9A,FF,7F,FF,FF,
118522996,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
121012567,15FD0816,true,Rx,0,8,01,01,04,23,9B,FF,FF,FF,
121013162,15FD0716,true,Rx,0,8,01,C4,87,9B,FF,7F,FF,FF,
121023879,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
123513432,15FD0816,true,Rx,0,8,01,01,04,EB,9B,FF,FF,FF,
123514037,15FD0716,true,Rx,0,8,01,C4,4F,9C,FF,7F,FF,FF,
123524844,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
123573424,1DF01116,true,Rx,0,8,60,EA,00,FF,FF,FF,FF,FF,
126014339,15FD0816,true,Rx,0,8,01,01,04,B3,9C,FF,FF,FF,
126014929,15FD0716,true,Rx,0,8,01,C4,17,9D,FF,7F,FF,FF,
126025674,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
128515254,15FD0816,true,Rx,0,8,01,01,04,7B,9D,FF,FF,FF,
128515813,15FD0716,true,Rx,0,8,01,C4,DF,9D,FF,7F,FF,FF,
128526597,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
131016192,15FD0816,true,Rx,0,8,01,01,04,43,9E,FF,FF,FF,
131016723,15FD0716,true,Rx,0,8,01,C4,A7,9E,FF,7F,FF,FF,
131027512,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
133517087,15FD0816,true,Rx,0,8,01,01,04,0B,9F,FF,FF,FF,
133517618,15FD0716,true,Rx,0,8,01,C4,6F,9F,FF,7F,FF,FF,
133528386,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
136017995,15FD0816,true,Rx,0,8,01,01,04,D3,9F,FF,FF,FF,
136018519,15FD0716,true,Rx,0,8,01,C4,37,A0,FF,7F,FF,FF,
136029299,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
138518912,15FD0816,true,Rx,0,8,01,01,04,9B,A0,FF,FF,FF,
138519460,15FD0716,true,Rx,0,8,01,C4,FF,A0,FF,7F,FF,FF,
138530265,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
141019785,15FD0816,true,Rx,0,8,01,01,04,63,A1,FF,FF,FF,
141020365,15FD0716,true,Rx,0,8,01,C4,C7,A1,FF,7F,FF,FF,
141031161,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
143520736,15FD0816,true,Rx,0,8,01,01,04,2B,A2,FF,FF,FF,
143521280,15FD0716,true,Rx,0,8,01,C4,8F,A2,FF,7F,FF,FF,
143532013,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
146021634,15FD0816,true,Rx,0,8,01,01,04,F3,A2,FF,FF,FF,
146022181,15FD0716,true,Rx,0,8,01,C4,57,A3,FF,7F,FF,FF,
146032946,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
148522483,15FD0816,true,Rx,0,8,01,01,04,BB,A3,FF,FF,FF,
148523032,15FD0716,true,Rx,0,8,01,C4,1F,A4,FF,7F,FF,FF,
148533842,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
151023404,15FD0816,true,Rx,0,8,01,01,04,83,A4,FF,FF,FF,
151023993,15FD0716,true,Rx,0,8,01,C4,E7,A4,FF,7F,FF,FF,
151034717,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
153524335,15FD0816,true,Rx,0,8,01,01,04,4B,A5,FF,FF,FF,
153524893,15FD0716,true,Rx,0,8,01,C4,AF,A5,FF,7F,FF,FF,
153535628,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
156025262,15FD0816,true,Rx,0,8,01,01,04,13,A6,FF,FF,FF,
156025798,15FD0716,true,Rx,0,8,01,C4,77,A6,FF,7F,FF,FF,
156036540,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
158526140,15FD0816,true,Rx,0,8,01,01,04,DB,A6,FF,FF,FF,
158526718,15FD0716,true,Rx,0,8,01,C4,3F,A7,FF,7F,FF,FF,
158537497,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
161027036,15FD0816,true,Rx,0,8,01,01,04,A3,A7,FF,FF,FF,
161027577,15FD0716,true,Rx,0,8,01,C4,07,A8,FF,7F,FF,FF,
161038395,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
163527931,15FD0816,true,Rx,0,8,01,01,04,6B,A8,FF,FF,FF,
163528477,15FD0716,true,Rx,0,8,01,C4,CF,A8,FF,7F,FF,FF,
163539298,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
166028835,15FD0816,true,Rx,0,8,01,01,04,33,A9,FF,FF,FF,
166029446,15FD0716,true,Rx,0,8,01,C4,97,A9,FF,7F,FF,FF,
166040136,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
168529757,15FD0816,true,Rx,0,8,01,01,04,FB,A9,FF,FF,FF,
168530432,15FD0716,true,Rx,0,8,01,C4,5F,AA,FF,7F,FF,FF,
168541082,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
171030621,15FD0816,true,Rx,0,8,01,01,04,C3,AA,FF,FF,FF,
171031298,15FD0716,true,Rx,0,8,01,C4,27,AB,FF,7F,FF,FF,
171042008,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
173531563,15FD0816,true,Rx,0,8,01,01,04,8B,AB,FF,FF,FF,
173532163,15FD0716,true,Rx,0,8,01,C4,EF,AB,FF,7F,FF,FF,
173542869,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
176032467,15FD0816,true,Rx,0,8,01,01,04,53,AC,FF,FF,FF,
176033011,15FD0716,true,Rx,0,8,01,C4,B7,AC,FF,7F,FF,FF,
176043789,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
178533377,15FD0816,true,Rx,0,8,01,01,04,1B,AD,FF,FF,FF,
178533933,15FD0716,true,Rx,0,8,01,C4,7F,AD,FF,7F,FF,FF,
178544724,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
181034254,15FD0816,true,Rx,0,8,01,01,04,E3,AD,FF,FF,FF,
181034847,15FD0716,true,Rx,0,8,01,C4,47,AE,FF,7F,FF,FF,
181045570,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
183535208,15FD0816,true,Rx,0,8,01,01,04,AB,AE,FF,FF,FF,
183535719,15FD0716,true,Rx,0,8,01,C4,0F,AF,FF,7F,FF,FF,
183546541,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
183571133,1DF01116,true,Rx,0,8,60,EA,00,FF,FF,FF,FF,FF,
186036102,15FD0816,true,Rx,0,8,01,01,04,73,AF,FF,FF,FF,
186036632,15FD0716,true,Rx,0,8,01,C4,D7,AF,FF,7F,FF,FF,
186047417,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
188537028,15FD0816,true,Rx,0,8,01,01,04,3B,B0,FF,FF,FF,
188537555,15FD0716,true,Rx,0,8,01,C4,9F,B0,FF,7F,FF,FF,
188548368,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
191037903,15FD0816,true,Rx,0,8,01,01,04,03,B1,FF,FF,FF,
191038503,15FD0716,true,Rx,0,8,01,C4,67,B1,FF,7F,FF,FF,
191049219,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
193538805,15FD0816,true,Rx,0,8,01,01,04,CB,B1,FF,FF,FF,
193539394,15FD0716,true,Rx,0,8,01,C4,2F,B2,FF,7F,FF,FF,
193550107,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
196039678,15FD0816,true,Rx,0,8,01,01,04,93,B2,FF,FF,FF,
196040232,15FD0716,true,Rx,0,8,01,C4,F7,B2,FF,7F,FF,FF,
196051019,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
198540645,15FD0816,true,Rx,0,8,01,01,04,5B,B3,FF,FF,FF,
198541201,15FD0716,true,Rx,0,8,01,C4,BF,B3,FF,7F,FF,FF,
198551948,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
201041565,15FD0816,true,Rx,0,8,01,01,04,23,B4,FF,FF,FF,
201042081,15FD0716,true,Rx,0,8,01,C4,87,B4,FF,7F,FF,FF,
201052822,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
203542422,15FD0816,true,Rx,0,8,01,01,04,EB,B4,FF,FF,FF,
203543005,15FD0716,true,Rx,0,8,01,C4,4F,B5,FF,7F,FF,FF,
203553740,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
206043368,15FD0816,true,Rx,0,8,01,01,04,B3,B5,FF,FF,FF,
206043891,15FD0716,true,Rx,0,8,01,C4,17,B6,FF,7F,FF,FF,
206054657,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
208544221,15FD0816,true,Rx,0,8,01,01,04,7B,B6,FF,FF,FF,
208544763,15FD0716,true,Rx,0,8,01,C4,DF,B6,FF,7F,FF,FF,
208555590,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
211045098,15FD0816,true,Rx,0,8,01,01,04,43,B7,FF,FF,FF,
211045690,15FD0716,true,Rx,0,8,01,C4,A7,B7,FF,7F,FF,FF,
211056487,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
213546080,15FD0816,true,Rx,0,8,01,01,04,0B,B8,FF,FF,FF,
213546596,15FD0716,true,Rx,0,8,01,C4,6F,B8,FF,7F,FF,FF,
213557360,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
216046949,15FD0816,true,Rx,0,8,01,01,04,D3,B8,FF,FF,FF,
216047543,15FD0716,true,Rx,0,8,01,C4,37,B9,FF,7F,FF,FF,
216058306,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
218547815,15FD0816,true,Rx,0,8,01,01,04,9B,B9,FF,FF,FF,
218548433,15FD0716,true,Rx,0,8,01,C4,FF,B9,FF,7F,FF,FF,
218559169,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
221048727,15FD0816,true,Rx,0,8,01,01,04,63,BA,FF,FF,FF,
221049318,15FD0716,true,Rx,0,8,01,C4,C7,BA,FF,7F,FF,FF,
221060067,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
223549675,15FD0816,true,Rx,0,8,01,01,04,2B,BB,FF,FF,FF,
223550215,15FD0716,true,Rx,0,8,01,C4,8F,BB,FF,7F,FF,FF,
223560987,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
226050560,15FD0816,true,Rx,0,8,01,01,04,F3,BB,FF,FF,FF,
226051169,15FD0716,true,Rx,0,8,01,C4,57,BC,FF,7F,FF,FF,
226061902,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
228551502,15FD0816,true,Rx,0,8,01,01,04,BB,BC,FF,FF,FF,
228552008,15FD0716,true,Rx,0,8,01,C4,1F,BD,FF,7F,FF,FF,
228562767,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
231052400,15FD0816,true,Rx,0,8,01,01,04,83,BD,FF,FF,FF,
231052921,15FD0716,true,Rx,0,8,01,C4,E7,BD,FF,7F,FF,FF,
231063732,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
233553309,15FD0816,true,Rx,0,8,01,01,04,4B,BE,FF,FF,FF,
233553877,15FD0716,true,Rx,0,8,01,C4,AF,BE,FF,7F,FF,FF,
233564652,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
236054181,15FD0816,true,Rx,0,8,01,01,04,13,BF,FF,FF,FF,
236054770,15FD0716,true,Rx,0,8,01,C4,77,BF,FF,7F,FF,FF,
236065521,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
238555103,15FD0816,true,Rx,0,8,01,01,04,DB,BF,FF,FF,FF,
238555738,15FD0716,true,Rx,0,8,01,C4,3F,C0,FF,7F,FF,FF,
238566409,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
241055996,15FD0816,true,Rx,0,8,01,01,04,A3,C0,FF,FF,FF,
241056672,15FD0716,true,Rx,0,8,01,C4,07,C1,FF,7F,FF,FF,
241067346,15FD0616,true,Rx,0,8,01,C1,70,FF,FF,FF,FF,FF,
243556927,15FD0816,true,Rx,0,8,01,01,04,6B,C1,FF,FF,FF,
